Points	Interferogram
326	-1.66E-04
327	-4.89E-05
328	7.16E-05
329	1.31E-04
330	1.02E-04
331	-1.03E-06
332	-1.36E-04
333	-2.55E-04
334	-3.29E-04
335	-3.43E-04
336	-2.95E-04
337	-2.04E-04
338	-1.15E-04
339	-8.51E-05
340	-1.36E-04
341	-2.32E-04
342	-2.96E-04
343	-2.65E-04
344	-1.41E-04
345	8.67E-06
346	1.05E-04
347	1.06E-04
348	2.59E-05
349	-8.92E-05
350	-1.86E-04
351	-2.31E-04
352	-2.20E-04
353	-1.80E-04
354	-1.37E-04
355	-1.10E-04
356	-1.14E-04
357	-1.65E-04
358	-2.52E-04
359	-3.26E-04
360	-3.31E-04
361	-2.47E-04
362	-1.14E-04
363	1.32E-06
364	5.00E-05
365	2.21E-05
366	-5.02E-05
367	-1.17E-04
368	-1.44E-04
369	-1.34E-04
370	-1.10E-04
371	-9.29E-05
372	-9.24E-05
373	-1.11E-04
374	-1.47E-04
375	-1.99E-04
376	-2.55E-04
377	-2.96E-04
378	-3.01E-04
379	-2.62E-04
380	-1.93E-04
381	-1.30E-04
382	-1.02E-04
383	-1.12E-04
384	-1.39E-04
385	-1.52E-04
386	-1.38E-04
387	-1.09E-04
388	-8.17E-05
389	-6.37E-05
390	-4.93E-05
391	-3.48E-05
392	-3.34E-05
393	-6.71E-05
394	-1.41E-04
395	-2.29E-04
396	-2.95E-04
397	-3.18E-04
398	-2.97E-04
399	-2.49E-04
400	-2.01E-04
401	-1.79E-04
402	-1.90E-04
403	-2.12E-04
404	-2.15E-04
405	-1.86E-04
406	-1.30E-04
407	-5.90E-05
408	1.31E-05
409	6.22E-05
410	6.04E-05
411	-5.16E-06
412	-1.18E-04
413	-2.38E-04
414	-3.14E-04
415	-3.14E-04
416	-2.46E-04
417	-1.62E-04
418	-1.28E-04
419	-1.70E-04
420	-2.54E-04
421	-3.21E-04
422	-3.29E-04
423	-2.71E-04
424	-1.68E-04
425	-5.70E-05
426	2.32E-05
427	4.68E-05
428	9.28E-06
429	-7.08E-05
430	-1.58E-04
431	-2.12E-04
432	-2.03E-04
433	-1.34E-04
434	-5.03E-05
435	-1.46E-05
436	-6.81E-05
437	-1.96E-04
438	-3.30E-04
439	-3.90E-04
440	-3.42E-04
441	-2.21E-04
442	-9.99E-05
443	-3.24E-05
444	-2.50E-05
445	-5.46E-05
446	-9.55E-05
447	-1.28E-04
448	-1.35E-04
449	-1.09E-04
450	-5.58E-05
451	-1.55E-06
452	1.47E-05
453	-3.72E-05
454	-1.53E-04
455	-2.82E-04
456	-3.49E-04
457	-3.10E-04
458	-1.90E-04
459	-7.11E-05
460	-2.46E-05
461	-5.69E-05
462	-1.19E-04
463	-1.52E-04
464	-1.32E-04
465	-7.65E-05
466	-2.67E-05
467	-1.02E-05
468	-2.49E-05
469	-5.59E-05
470	-9.84E-05
471	-1.56E-04
472	-2.19E-04
473	-2.56E-04
474	-2.39E-04
475	-1.70E-04
476	-9.72E-05
477	-8.26E-05
478	-1.41E-04
479	-2.17E-04
480	-2.30E-04
481	-1.44E-04
482	-4.21E-06
483	1.02E-04
484	1.12E-04
485	3.34E-05
486	-6.98E-05
487	-1.35E-04
488	-1.42E-04
489	-1.19E-04
490	-1.06E-04
491	-1.21E-04
492	-1.58E-04
493	-2.04E-04
494	-2.61E-04
495	-3.29E-04
496	-3.77E-04
497	-3.51E-04
498	-2.18E-04
499	-1.75E-05
500	1.49E-04
501	1.88E-04
502	9.07E-05
503	-5.49E-05
504	-1.33E-04
505	-9.10E-05
506	2.29E-05
507	1.06E-04
508	8.06E-05
509	-5.62E-05
510	-2.43E-04
511	-4.03E-04
512	-4.87E-04
513	-4.86E-04
514	-4.12E-04
515	-2.84E-04
516	-1.32E-04
517	-1.25E-05
518	1.16E-05
519	-7.51E-05
520	-2.00E-04
521	-2.41E-04
522	-1.26E-04
523	1.02E-04
524	3.04E-04
525	3.41E-04
526	1.75E-04
527	-1.02E-04
528	-3.41E-04
529	-4.45E-04
530	-4.09E-04
531	-3.00E-04
532	-1.96E-04
533	-1.51E-04
534	-1.81E-04
535	-2.70E-04
536	-3.84E-04
537	-4.68E-04
538	-4.47E-04
539	-2.75E-04
540	1.39E-05
541	2.94E-04
542	4.17E-04
543	3.14E-04
544	5.79E-05
545	-1.90E-04
546	-2.93E-04
547	-2.24E-04
548	-6.91E-05
549	3.80E-05
550	9.84E-06
551	-1.43E-04
552	-3.42E-04
553	-5.08E-04
554	-5.86E-04
555	-5.45E-04
556	-3.84E-04
557	-1.50E-04
558	7.13E-05
559	1.87E-04
560	1.46E-04
561	-1.84E-05
562	-1.90E-04
563	-2.40E-04
564	-1.31E-04
565	6.12E-05
566	2.04E-04
567	1.98E-04
568	3.90E-05
569	-1.91E-04
570	-3.79E-04
571	-4.55E-04
572	-4.20E-04
573	-3.24E-04
574	-2.13E-04
575	-1.24E-04
576	-8.41E-05
577	-1.14E-04
578	-1.99E-04
579	-2.77E-04
580	-2.76E-04
581	-1.67E-04
582	5.37E-06
583	1.50E-04
584	1.94E-04
585	1.16E-04
586	-3.69E-05
587	-1.79E-04
588	-2.43E-04
589	-2.28E-04
590	-1.84E-04
591	-1.58E-04
592	-1.58E-04
593	-1.74E-04
594	-1.95E-04
595	-2.19E-04
596	-2.41E-04
597	-2.45E-04
598	-2.15E-04
599	-1.56E-04
600	-9.40E-05
601	-5.56E-05
602	-5.16E-05
603	-7.79E-05
604	-1.16E-04
605	-1.44E-04
606	-1.50E-04
607	-1.44E-04
608	-1.40E-04
609	-1.44E-04
610	-1.48E-04
611	-1.40E-04
612	-1.22E-04
613	-1.18E-04
614	-1.46E-04
615	-1.96E-04
616	-2.44E-04
617	-2.71E-04
618	-2.66E-04
619	-2.29E-04
620	-1.81E-04
621	-1.51E-04
622	-1.47E-04
623	-1.65E-04
624	-1.94E-04
625	-2.14E-04
626	-2.01E-04
627	-1.54E-04
