Points	Interferogram
0	6.88E-05
1	1.56E-04
2	6.88E-05
3	1.56E-04
4	1.84E-04
5	1.34E-04
6	4.48E-05
7	-2.09E-05
8	-2.89E-05
9	1.09E-05
10	6.47E-05
11	1.11E-04
12	1.52E-04
13	1.87E-04
14	1.98E-04
15	1.76E-04
16	1.27E-04
17	7.82E-05
18	6.46E-05
19	1.13E-04
20	2.01E-04
21	2.63E-04
22	2.45E-04
23	1.50E-04
24	3.00E-05
25	-5.72E-05
26	-8.32E-05
27	-5.85E-05
28	-1.58E-05
29	1.91E-05
30	4.00E-05
31	5.28E-05
32	6.38E-05
33	7.59E-05
34	9.18E-05
35	1.23E-04
36	1.85E-04
37	2.74E-04
38	3.56E-04
39	3.82E-04
40	3.19E-04
41	1.83E-04
42	3.46E-05
43	-5.19E-05
44	-5.14E-05
45	-1.90E-06
46	3.66E-05
47	2.78E-05
48	-2.50E-05
49	-8.96E-05
50	-1.26E-04
51	-1.11E-04
52	-4.54E-05
53	4.88E-05
54	1.53E-04
55	2.54E-04
56	3.25E-04
57	3.33E-04
58	2.70E-04
59	1.80E-04
60	1.23E-04
61	1.31E-04
62	1.93E-04
63	2.52E-04
64	2.40E-04
65	1.20E-04
66	-6.92E-05
67	-2.35E-04
68	-2.98E-04
69	-2.48E-04
70	-1.36E-04
71	-2.00E-05
72	7.19E-05
73	1.35E-04
74	1.66E-04
75	1.67E-04
76	1.57E-04
77	1.64E-04
78	2.15E-04
79	3.06E-04
80	3.90E-04
81	3.99E-04
82	2.90E-04
83	8.52E-05
84	-1.30E-04
85	-2.53E-04
86	-2.38E-04
87	-1.30E-04
88	-1.63E-05
89	3.54E-05
90	1.58E-05
91	-3.29E-05
92	-6.04E-05
93	-4.44E-05
94	1.29E-05
95	1.03E-04
96	2.09E-04
97	3.01E-04
98	3.40E-04
99	2.93E-04
100	1.63E-04
101	8.65E-06
102	-8.67E-05
103	-6.75E-05
104	4.67E-05
105	1.66E-04
106	1.92E-04
107	9.64E-05
108	-5.65E-05
109	-1.67E-04
110	-1.79E-04
111	-1.04E-04
112	1.37E-05
113	1.21E-04
114	1.81E-04
115	1.82E-04
116	1.38E-04
117	6.46E-05
118	-1.50E-05
119	-5.66E-05
120	-1.09E-05
121	1.20E-04
122	2.61E-04
123	3.16E-04
124	2.44E-04
125	8.65E-05
126	-6.14E-05
127	-1.09E-04
128	-3.43E-05
129	1.04E-04
130	2.15E-04
131	2.34E-04
132	1.61E-04
133	3.61E-05
134	-8.36E-05
135	-1.60E-04
136	-1.78E-04
137	-1.30E-04
138	-2.08E-05
139	1.19E-04
140	2.28E-04
141	2.46E-04
142	1.72E-04
143	7.40E-05
144	4.18E-05
145	1.21E-04
146	2.78E-04
147	4.20E-04
148	4.51E-04
149	3.40E-04
150	1.36E-04
151	-6.67E-05
152	-2.00E-04
153	-2.49E-04
154	-2.28E-04
155	-1.61E-04
156	-7.93E-05
157	-1.37E-05
158	1.72E-05
159	1.03E-05
160	-1.41E-05
161	-6.14E-06
162	8.41E-05
163	2.58E-04
164	4.53E-04
165	5.74E-04
166	5.54E-04
167	4.01E-04
168	1.94E-04
169	2.41E-05
170	-5.70E-05
171	-6.33E-05
172	-5.25E-05
173	-7.18E-05
174	-1.22E-04
175	-1.78E-04
176	-2.28E-04
177	-2.65E-04
178	-2.65E-04
179	-1.94E-04
180	-4.53E-05
181	1.55E-04
182	3.49E-04
183	4.69E-04
184	4.74E-04
185	3.82E-04
186	2.71E-04
187	2.15E-04
188	2.25E-04
189	2.41E-04
190	2.01E-04
191	8.82E-05
192	-6.49E-05
193	-2.14E-04
194	-3.21E-04
195	-3.66E-04
196	-3.53E-04
197	-2.94E-04
198	-1.88E-04
199	-4.04E-05
200	1.09E-04
201	2.06E-04
202	2.29E-04
203	2.09E-04
204	2.10E-04
205	2.66E-04
206	3.55E-04
207	4.10E-04
208	3.78E-04
209	2.59E-04
210	1.05E-04
211	-2.50E-05
212	-1.06E-04
213	-1.48E-04
214	-1.72E-04
215	-1.87E-04
216	-1.84E-04
217	-1.51E-04
218	-9.95E-05
219	-6.36E-05
220	-5.90E-05
221	-5.54E-05
222	-4.60E-06
223	1.01E-04
224	2.18E-04
225	2.94E-04
226	3.08E-04
227	2.71E-04
228	2.22E-04
229	1.95E-04
230	1.83E-04
231	1.54E-04
232	8.88E-05
233	4.13E-06
234	-6.52E-05
235	-9.86E-05
236	-1.06E-04
237	-1.15E-04
238	-1.36E-04
239	-1.53E-04
240	-1.42E-04
241	-1.01E-04
242	-4.62E-05
243	6.77E-06
244	5.01E-05
